GPUPower,CPUPower,SOCPower,CVPower,VDDRQPower,SYS5VPower
930,620,2635,0,465,3731
930,620,2635,0,465,3731
930,620,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
930,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,930,2635,0,465,3772
1085,1085,2635,0,465,3772
1085,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1395,1549,2634,0,465,3772
1395,1549,2634,0,465,3772
1394,1549,2634,0,465,3772
1395,1549,2634,0,465,3772
1394,1549,2634,0,465,3772
1395,1549,2634,0,465,3772
1395,1549,2634,0,465,3772
1395,1394,2634,0,465,3772
1395,1394,2634,0,465,3772
1395,1394,2634,0,465,3772
1395,1394,2634,0,465,3772
1395,1395,2634,0,465,3772
1395,1395,2634,0,465,3772
1395,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1395,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2634,0,465,3772
1240,1240,2635,0,465,3772
1240,1240,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3772
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1240,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,1085,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,930,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
1085,775,2635,0,465,3731
